product_id,sellPrice,sellVolume,sellMovingWeek,sellOrders,buyPrice,buyVolume,buyMovingWeek,buyOrders
GOLD_INGOT,8.902671178176623,6316291,60683133,159,10.97827755516677,871610,28760590,204
REVENANT_VISCERA,22000.69930220075,85169,74749,468,27998.5,1666,146611,15
TARANTULA_SILK,9854.057623519804,131265,37184,243,64527.19465875372,14624,64379,74
ENCHANTED_MUTTON,2449.257132397278,744475,4229554,543,2674.461609195402,857841,5212785,1765
ENCHANTED_IRON,1046.3454762378208,525549,2928857,422,1097.5875365955667,80972,2410195,361
SUPER_EGG,59237.67213352685,20455,18976,182,252450.40588235296,1296,31008,97
SUPER_COMPACTOR_3000,443723.7224932249,17798,62260,791,474977.0446153846,2987,86230,366
STOCK_OF_STONKS,9894.764449443019,464854,149148,833,11923.226809651473,31015,205891,206
ENCHANTED_HAY_BLOCK,6630.715458473355,72742,134796,156,7348.584466019417,7909,187346,54
ENCHANTED_PAPER,343.3903560042508,139171,261173,120,611.0516129032258,11701,237592,70
ENCHANTED_BONE,1180.507569505513,349431,2282498,264,1377.0950727218758,150556,2033931,370
ENCHANTED_DIAMOND_BLOCK,133851.1117542643,8945947,175149,4017,207910.72544429995,94193,204057,540
SPOOKY_BAIT,7.5,1006090,408178,44,10.786234420949446,321520,214721,225
SUPERIOR_FRAGMENT,26893.602735426462,2619455,104142,1362,249239.5,2164,56881,89
EMERALD,5.640386417981826,1923645,24517888,67,6.688991101039964,1036958,12420064,342
ENCHANTED_RABBIT_FOOT,3761.979482855537,98792,224074,322,5324.175426008968,13323,362006,97
LIGHT_BAIT,42.00518843303059,773882,334600,142,62.85335137385512,230394,377085,177
HOT_POTATO_BOOK,67561.83674242425,10943,107410,577,73358.58984375,18697,232633,1464
ENCHANTED_ICE,728.2700575355602,913947,6563895,535,822.9327906976744,84083,3095011,323
CLAY_BALL,3.460300185068849,2870028,32565172,65,5.0,1930669,28137312,190
OLD_FRAGMENT,2420.9765223512845,268722,341288,135,2570.779583333334,35398,255849,214
GREEN_GIFT,7532.136576095331,847809,307671,405,9377.593436546013,227217,254952,649
PACKED_ICE,39.42674912534368,5961575,105499014,190,47.9477048833171,4644467,20116439,718
WATER_LILY,121.55023173720366,3201706,6978219,150,155.4367741935484,44474,1537036,74
LOG_2,3.1,2493099,27675550,43,4.298173149179861,1396543,5073071,373
HAMSTER_WHEEL,20308.649867724867,145187,123784,336,22873.8,3392,116000,56
ENCHANTED_OBSIDIAN,2225.866165413534,580944,3294975,740,2383.077961121157,218585,2499234,432
ENCHANTED_COAL,889.904149241699,976694,5255810,459,926.0272824631859,180517,2508249,344
